Shopping  	Community      	Food  	Entertainment  	Travel  	Outdoors  	Nightlife			
0.110092	0.152174  	0.259494       	0.125000  	0.346154  	0.000000   	0.000000			
0.155340   	0.081633  	0.251701       	0.190476  	0.187500  	0.000000   	0.062500			
0.128440   	0.192308  	0.155844       	0.130435  	0.200000  	0.280000   	0.000000			
0.154545   	0.135593  	0.081481       	0.153846  	0.142857  	0.071429   	0.333333			
0.247525   	0.139535  	0.224242       	0.111111  	0.100000  	0.071429   	0.071429			
									
									
									
									
