Shopping  	Community      	Food  	Entertainment  	Travel  	Outdoors  	Nightlife			
0.235294   	0.095890  	0.440860       	0.063830  	0.140625  	0.000000   	0.000000			
0.301887   	0.133333  	0.333333       	0.080000  	0.071429  	0.000000   	0.050000			
0.291667   	0.185185  	0.428571       	0.081081  	0.054545  	0.102941   	0.000000			
0.257576   	0.137931  	0.333333       	0.066667  	0.111111  	0.038462   	0.038095			
0.280899   	0.222222  	0.451220       	0.068182  	0.050000  	0.016667   	0.023810			
									
									
									
									
