Shopping  	Community      	Food  	Entertainment  	Travel  	Outdoors  	Nightlife			
0  0.201835  	0.065217  	0.860759            	0.0  	0.115385       	0.0        	0.0        			
1  0.223301 	0.020408  	0.809524            	0.0  	0.000000       	0.0        	0.0        			
2  0.146789	0.000000  	0.954545            	0.0  	0.000000       	0.0        	0.0        			
3  0.163636	0.000000  	0.866667            	0.0  	0.000000       	0.0        	0.0 			
4  0.297030	0.000000  	0.769697            	0.0  	0.000000       	0.0        	0.0        			
									
									
									
									
