Shopping  	Community      	Food  	Entertainment  	Travel  	Outdoors  	Nightlife			
0.349206   	0.230769  	0.445902            	0.0     	1.0       	0.0        	0.0			
0.306667   	1.000000  	0.386364            	0.0     	0.0       	0.0        	0.0			
0.301887   	0.000000  	0.445455            	0.0     	0.0       	0.0       	0.0       			
0.321429   	0.000000  	0.356707            	0.0     	0.0       	0.0        	0.0			
0.283019   	0.000000  	0.456835            	0.0     	0.0     	0.0     	0.0     			
									
									
									
									
